package	version_code	version_name	apk	apk_role	sha256	size_bytes	signer_sha256	signer_dn	signature_schemes	source_stamp_verified	source_stamp_sha256	permissions
com.epix.epix.now	2026236001	236.0.2026236001	com.epix.epix.now/base.apk	base	146cf7004f6b699647f332152bc01002bd791415b33f76d313f99e380c036851	31415102	9c0f10cecd2fbd854a05a79ba63d97c1d35a6b077c46c3cb7bdaaf2ef3e7098c	O=Epix	v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	android.permission.ACCESS_ADSERVICES_AD_ID,android.permission.ACCESS_ADSERVICES_ATTRIBUTION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.CHANGE_NETWORK_STATE,android.permission.FOREGROUND_SERVICE,android.permission.FOREGROUND_SERVICE_DATA_SYNC,android.permission.INTERNET,android.permission.POST_NOTIFICATIONS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.USE_BIOMETRIC,android.permission.USE_FINGERPRINT,android.permission.WAKE_LOCK,com.android.providers.tv.permission.READ_EPG_DATA,com.android.providers.tv.permission.WRITE_EPG_DATA,com.android.vending.BILLING,com.epix.epix.now.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,com.google.android.c2dm.permission.RECEIVE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.gms.permission.AD_ID
com.epix.epix.now	2026236001		com.epix.epix.now/split_config.arm64_v8a.apk	split:config.arm64_v8a	45cfaf94187d5d49baeca04e5f96b73e0f899ba24dca9a8356f5780d37174fad	53576	9c0f10cecd2fbd854a05a79ba63d97c1d35a6b077c46c3cb7bdaaf2ef3e7098c	O=Epix	v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
com.epix.epix.now	2026236001		com.epix.epix.now/split_config.tvdpi.apk	split:config.tvdpi	d983f7d633a483db1d9b704623d3ad782fb4877c70ef2aa15e055b42e5cd1d24	207302	9c0f10cecd2fbd854a05a79ba63d97c1d35a6b077c46c3cb7bdaaf2ef3e7098c	O=Epix	v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
com.google.android.youtube.tv	530320330	5.30.320	com.google.android.youtube.tv/base.apk	base	36ce46c62a6c40f67be1376e4e1037e1fccb1f568f736b51ccfd75352da323ca	8262729	21199d112cece428c82cb0df221da24ff8674c7a982a83a17a970eec43305b4a	CN=ytandroidtv, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.INTERNET,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.RECORD_AUDIO,android.permission.WAKE_LOCK,com.android.providers.tv.permission.READ_EPG_DATA,com.android.providers.tv.permission.WRITE_EPG_DATA,com.google.android.gms.permission.AD_ID,com.google.android.providers.gsf.permission.READ_GSERVICES
com.google.android.youtube.tv	530320330		com.google.android.youtube.tv/split_config.arm64_v8a.apk	split:config.arm64_v8a	fe125e3a86ec57d49aa8d2f17a91cb317098fa588fa1d529d0aa7f4aa7ea11a7	48808947	21199d112cece428c82cb0df221da24ff8674c7a982a83a17a970eec43305b4a	CN=ytandroidtv, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
com.google.android.youtube.tvunplugged	383001330	3.83.01	com.google.android.youtube.tvunplugged/base.apk	base	32202c552fb0e6ce64a10c3763ec0aa0b214dca2a09ac1f1947339b4ff621e8a	8439377	e1fdaf1b3246fb5939f99c9e6d85a581f7700c19e5533e170440b64c8d5ec849	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.RECORD_AUDIO,android.permission.USE_CREDENTIALS,android.permission.WAKE_LOCK,com.android.providers.tv.permission.READ_EPG_DATA,com.android.providers.tv.permission.WRITE_EPG_DATA,com.google.android.gms.permission.AD_ID,com.google.android.providers.gsf.permission.READ_GSERVICES
com.google.android.youtube.tvunplugged	383001330		com.google.android.youtube.tvunplugged/split_config.arm64_v8a.apk	split:config.arm64_v8a	3b75305b17cbaab139cbe37c8aa8527132f6df93c0832974246aa54880d06d25	82015383	e1fdaf1b3246fb5939f99c9e6d85a581f7700c19e5533e170440b64c8d5ec849	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
com.hulu.plus	60010292	6.32.0+17694659-google	com.hulu.plus/base.apk	base	e6de7f4f4bfd39fca574264eb17650a3aa26f874827f670a3412fcf70a8843df	20291547	cfbdf8dcd96469243dde618ad6a12fa37685ba98f5c6f4c778ba9fbf75a8b145	CN=Hulu, OU=Hulu, O=Hulu, L=Los Angeles, ST=California, C=US	v2	false		android.permission.ACCESS_ADSERVICES_AD_ID,android.permission.ACCESS_ADSERVICES_ATTRIBUTION,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.FOREGROUND_SERVICE,android.permission.FOREGROUND_SERVICE_DATA_SYNC,android.permission.INTERNET,android.permission.POST_NOTIFICATIONS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.WAKE_LOCK,com.google.android.c2dm.permission.RECEIVE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.gms.permission.AD_ID,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,com.hulu.plus.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,com.samsung.android.mapsagent.permission.READ_APP_INFO
com.ionitech.airscreen	566	2.15.1	com.ionitech.airscreen/base.apk	base	b31e8f9e980a9c3678cdffc37f7b9b5b50856a731892b5e414b2833f61105b96	52453307	022735b12fbf727124db5134797acf06fe094cec2729301caf263cc145f6261c	CN=AirScreen, OU=IoniTech	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	android.permission.ACCESS_ADSERVICES_AD_ID,android.permission.ACCESS_ADSERVICES_ATTRIBUTION,android.permission.ACCESS_ADSERVICES_TOPICS,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.CHANGE_NETWORK_STATE,android.permission.CHANGE_WIFI_MULTICAST_STATE,android.permission.CHANGE_WIFI_STATE,android.permission.FOREGROUND_SERVICE,android.permission.FOREGROUND_SERVICE_CONNECTED_DEVICE,android.permission.FOREGROUND_SERVICE_MEDIA_PROJECTION,android.permission.INTERNET,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.POST_NOTIFICATIONS,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_MEDIA_AUDIO,android.permission.READ_MEDIA_IMAGES,android.permission.READ_MEDIA_VIDEO,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.SYSTEM_ALERT_WINDOW,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.android.vending.BILLING,com.google.android.c2dm.permission.RECEIVE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.gms.permission.AD_ID,com.ionitech.airscreen.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION
com.ionitech.airscreen	566		com.ionitech.airscreen/split_config.arm64_v8a.apk	split:config.arm64_v8a	de63e2e96a57c0cb1f42267012077252861d0026653697274b4898c16f42168a	167412563	022735b12fbf727124db5134797acf06fe094cec2729301caf263cc145f6261c	CN=AirScreen, OU=IoniTech	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
